,precision,recall,f1-score,support
No Serious Violation,0.5563198624247635,0.9832826747720365,0.7105985722130698,658.0
Serious Violation,0.9867788461538461,0.6140613313388182,0.7570308898109728,1337.0
accuracy,0.7358395989974937,0.7358395989974937,0.7358395989974937,0.7358395989974937
macro avg,0.7715493542893048,0.7986720030554273,0.7338147310120213,1995.0
weighted avg,0.8448029006432014,0.7358395989974937,0.741716371024296,1995.0
