,precision,recall,f1-score,support
No Serious Violation,0.5513698630136986,0.9787234042553191,0.705366922234392,658.0
Serious Violation,0.9830713422007256,0.6080777860882572,0.7513863216266173,1337.0
accuracy,0.7303258145363408,0.7303258145363408,0.7303258145363408,0.7303258145363408
macro avg,0.7672206026072121,0.7934005951717882,0.7283766219305047,1995.0
weighted avg,0.8406855911706184,0.7303258145363408,0.7362079934060237,1995.0
