,precision,recall,f1-score,accuracy,auc
Logistic Regression MinMax,0.9239598278335724,0.7244094488188977,0.8121059268600253,0.7759398496240602,0.8599868893939278
Logistic Regression Final,0.9830713422007256,0.6080777860882572,0.7513863216266173,0.7303258145363408,0.8238650701452465
