,precision,recall,f1-score,accuracy,auc
Logistic Regression MinMax,0.9239598278335724,0.7244094488188977,0.8121059268600253,0.7759398496240602,0.8599868893939278
Logistic Regression Standard,0.9100817438692098,0.7514060742407199,0.8231669747381393,0.7842105263157895,0.8623845488701668
Logistic Regression Robust,0.9100817438692098,0.7514060742407199,0.8231669747381393,0.7842105263157895,0.8623794474670259
