,precision,recall,f1-score,support
No Serious Violation,0.6291946308724832,0.8503401360544217,0.7232401157184185,441.0
Serious Violation,0.9100817438692098,0.7514060742407199,0.8231669747381393,889.0
accuracy,0.7842105263157895,0.7842105263157895,0.7842105263157895,0.7842105263157895
macro avg,0.7696381873708464,0.8008731051475708,0.7732035452282788,1330.0
weighted avg,0.8169454906124005,0.7842105263157895,0.7900333320105476,1330.0
