,precision,recall,f1-score,support
No Serious Violation,0.6129541864139021,0.8798185941043084,0.7225325884543763,441.0
Serious Violation,0.9239598278335724,0.7244094488188977,0.8121059268600253,889.0
accuracy,0.7759398496240602,0.7759398496240602,0.7759398496240602,0.7759398496240602
macro avg,0.7684570071237373,0.802114021461603,0.7673192576572008,1330.0
weighted avg,0.8208369046259976,0.7759398496240602,0.7824052935992049,1330.0
